content_id,content_name,content_type_id,subcat_slug,slug,url
5000167,dailydose_news,61,heart-disease,heart-disease,/dailydose/2013/1/25/snoring_could_be_sign_of_future_heart_disease/
5000168,dailydose_news,61,breast-cancer,breast-cancer,/dailydose/2013/1/25/low_vitamin_d_linked_to_breast_cancer/
5000172,dailydose_news,61,diet-exercise,diet-exercise,/dailydose/2013/1/28/yogurt_boosts_nutrition_and_happiness/
5000173,dailydose_news,61,heart-disease,heart-disease,/dailydose/2013/1/28/stem_cells_speed_stroke_recovery/
5000174,dailydose_news,61,diet-exercise,diet-exercise,/dailydose/2013/1/28/yoga_may_ease_depression_adhd/
5000175,dailydose_news,61,schizophrenia,schizophrenia,/dailydose/2013/1/29/facebook_reveals_state_of_mental_health/
5000176,dailydose_news,61,diet-exercise,diet-exercise,/dailydose/2013/1/29/bright_fruits_and_vegetables_prevent_als/
5000177,dailydose_news,61,obesity,obesity,/dailydose/2013/1/29/botox_in_the_stomach_does_not_aid_weight_loss/
5000182,dailydose_news,61,obesity,obesity,/dailydose/2013/1/30/early_lunch_means_more_weight_loss/
5000183,dailydose_news,61,prostate,prostate,/dailydose/2013/1/30/fried_foods_raise_prostate_cancer_risk/
5000184,dailydose_news,61,anxiety,anxiety,/dailydose/2013/1/30/five_years_of_life_spent_worrying/
5000185,dailydose_news,61,diabetes,diabetes,/dailydose/2013/1/31/binge_drinking_linked_to_diabetes/
5000186,dailydose_news,61,diet-exercise,diet-exercise,/dailydose/2013/1/31/pressure_to_be_thin_comes_from_peers/
5000187,dailydose_news,61,cold-flu,cold-flu,/dailydose/2013/1/31/gloomy_weather_feeds_winter_flu_epidemic/
5000188,dailydose_news,61,heart-disease,heart-disease,/dailydose/2013/2/1/vegetarians_have_healthier_hearts/
5000189,dailydose_news,61,diet-exercise,diet-exercise,/dailydose/2013/2/1/exercise_a_little_goes_a_long_way/
5000190,dailydose_news,61,heart-disease,heart-disease,/dailydose/2013/2/1/marriage_is_good_for_the_heart/
5000194,dailydose_news,61,diet-exercise,diet-exercise,/dailydose/2013/2/4/nutrition_fact_labels_can_be_inaccurate/
5000195,dailydose_news,61,cold-flu,cold-flu,/dailydose/2013/2/4/watch_out_for_fake_flu_products/
5000196,dailydose_news,61,NULL,NULL,/dailydose/2013/2/4/eight_cancer_screenings_to_avoid/
5000198,dailydose_news,61,heart-disease,heart-disease,/dailydose/2013/2/5/calcium_supplements_raise_risk_of_heart_disease_death_risk_in_men/
5000199,dailydose_news,61,heart-disease,heart-disease,/dailydose/2013/2/5/omega_3_rich_ground_beef_available_soon/
5000200,dailydose_news,61,sexual-health,sexual-health,/dailydose/2013/2/5/watching_too_much_tv_lowers_sperm_count/
5000204,dailydose_news,61,diet-exercise,diet-exercise,/dailydose/2013/2/6/can_eating_breakfast_make_kids_smarter/
5000205,dailydose_news,61,obesity,obesity,/dailydose/2013/2/6/baby_boomers_living_longer_but_not_healthier/
5000206,dailydose_news,61,NULL,NULL,/dailydose/2013/2/6/diet_drinks_increase_alcohol_intoxication/
5000207,dailydose_news,61,NULL,NULL,/dailydose/2013/2/7/lower_drinking_age_increases_binge_drinking/
5000208,dailydose_news,61,heart-disease,heart-disease,/dailydose/2013/2/7/smoking_marijuana_doubles_risk_of_stroke/
5000209,dailydose_news,61,alzheimers,alzheimers,/dailydose/2013/2/7/alzheimer_s_prevalence_may_triple_by_2050/
5000210,dailydose_news,61,obesity,obesity,/dailydose/2013/2/8/obesity_can_lead_to_lower_vitamin_d_levels/
5000211,dailydose_news,61,multiple-sclerosis,multiple-sclerosis,/dailydose/2013/2/8/skin_stem_cells_may_restore_ms_brain/
5000212,dailydose_news,61,obesity,obesity,/dailydose/2013/2/8/restaurants_profit_off_low_calorie_meals/
5000214,dailydose_news,61,migraine,migraine,/dailydose/2013/2/11/nerve_stimulation_eases_migraines/
5000215,dailydose_news,61,breast-cancer,breast-cancer,/dailydose/2013/2/11/natural_cancer_fighting_boost/
5000216,dailydose_news,61,anxiety,anxiety,/dailydose/2013/2/11/a_state_of_panic/
5000220,dailydose_news,61,heart-disease,heart-disease,/dailydose/2013/2/12/hypertension_may_lead_to_heart_disease/
5000221,dailydose_news,61,diet-exercise,diet-exercise,/dailydose/2013/2/12/misleading_vitamin_d_labels/
5000222,dailydose_news,61,prostate,prostate,/dailydose/2013/2/12/exercise_might_reduce_prostate_cancer_risk/
5000224,dailydose_news,61,NULL,NULL,/dailydose/2013/2/13/scientists_block_sensitivity_to_cold_in_mice/
5000225,dailydose_news,61,diabetes,diabetes,/dailydose/2013/2/13/firstborns_at_risk_for_diabetes_hypertension/
5000226,dailydose_news,61,sexual-health,sexual-health,/dailydose/2013/2/13/single_married_and_loving_it/
5000227,dailydose_news,61,sexual-health,sexual-health,/dailydose/2013/2/14/marriage_improves_health_of_couple/
5000228,dailydose_news,61,diet-exercise,diet-exercise,/dailydose/2013/2/14/long_moderate_activity_better_for_health/
5000229,dailydose_news,61,osteoporosis,osteoporosis,/dailydose/2013/2/14/hip_replacement_costs_differ_across_u_s/
5000232,dailydose_news,61,alzheimers,alzheimers,/dailydose/2013/2/15/low_protein_diet_slows_alzheimer_s_in_mice/
5000233,dailydose_news,61,NULL,NULL,/dailydose/2013/2/15/first_artificial_retina_approved_in_u_s/
5000234,dailydose_news,61,sexual-health,sexual-health,/dailydose/2013/2/15/u_s_std_cases_at_epidemic_level/
5000235,dailydose_news,61,sexual-health,sexual-health,/dailydose/2013/2/18/morning_after_pill_on_the_rise/
5000236,dailydose_news,61,NULL,NULL,/dailydose/2013/2/18/synthetic_marijuana_harms_the_kidneys/
5000237,dailydose_news,61,NULL,NULL,/dailydose/2013/2/18/alcohol_contributes_to_rise_of_cancer_deaths/
5000245,dailydose_news,61,NULL,NULL,/dailydose/2013/2/19/modern_diet_is_ruining_our_teeth/
5000246,dailydose_news,61,NULL,NULL,/dailydose/2013/2/19/caffeine_during_pregnancy_leads_to_low_birth_weight/
5000247,dailydose_news,61,NULL,NULL,/dailydose/2013/2/19/tv_can_improve_behavior_in_children/
5000248,dailydose_news,61,NULL,NULL,/dailydose/2013/2/20/political_ideology_predicted_by_brain_scans/
5000249,dailydose_news,61,sleep-disorders,sleep-disorders,/dailydose/2013/2/20/healthy_sleep_healthy_diet/
5000250,dailydose_news,61,cold-flu,cold-flu,/dailydose/2013/2/20/predicting_susceptibility_to_common_cold/
5000251,dailydose_news,61,acid-reflux,acid-reflux,/dailydose/2013/2/21/bracelet_can_control_chronic_acid_reflux/
5000252,dailydose_news,61,alzheimers,alzheimers,/dailydose/2013/2/21/antioxidants_may_not_help_fight_stroke_dementia/
5000253,dailydose_news,61,NULL,NULL,/dailydose/2013/2/21/pill_developed_to_cure_hangover/
5000254,dailydose_news,61,NULL,NULL,/dailydose/2013/2/22/one_third_of_fish_mislabeled/
5000255,dailydose_news,61,alzheimers,alzheimers,/dailydose/2013/2/22/grandma_gains_cognitive_boost_from_facebook/
5000256,dailydose_news,61,NULL,NULL,/dailydose/2013/2/22/mosquitoes_ignore_repellent_after_first_exposure/
